State,Total Deaths,Diseases of heart,Malignant neoplasms (cancer),Cerebrovascular diseases,Chronic lower respiratory disease,Total Accidents,Motor vehicle accidents,Diabetes mellitus,Alzheimer's disease,Influenza and pneumonia,"Nephritis, nephrotic syndrome and nephrosis",By firearms,Intentional self-harm (suicide),Assault (homicide),Human immunodeficiency virus (HIV),Deaths due to diseases/natural deaths,Deaths due to accidents/unnatural deaths
Alabama,952.4,253.3,197.7,55.3,46.7,53.8,26.6,29.3,30.3,18.6,22.2,16.8,12.4,9.8,4.2,657.6,119.4
Alaska,775.9,167.2,177.4,47.2,37.2,51.9,13.1,25.6,24.7,13.5,12.6,17.1,20.0,6.1,,505.4,108.19999999999999
Arizona,724.1,164.2,155.7,34.5,43.7,53.8,21.4,19.0,31.4,18.1,8.8,15.9,16.0,8.9,2.4,477.79999999999995,116.0
Arkansas ,888.9,233.0,196.0,58.8,47.4,49.1,25.9,26.9,23.9,23.9,19.3,15.1,13.3,8.5,2.8,632.0,111.89999999999999
California,700.2,192.5,162.3,44.9,39.1,31.6,12.2,22.1,24.1,21.8,8.0,9.1,9.2,6.9,3.3,518.0999999999999,69.0
Colorado,716.8,151.6,157.7,38.9,49.3,42.1,12.3,16.6,27.7,15.4,12.1,10.4,15.2,3.7,1.7,470.99999999999994,83.70000000000002
Connecticut,714.8,177.3,177.8,36.3,35.5,34.6,10.1,19.2,16.2,18.5,13.7,5.0,8.0,3.9,3.4,497.9,61.6
Delaware,784.0,201.2,191.4,41.7,37.5,37.9,16.4,20.5,20.4,15.1,16.5,9.2,10.4,6.1,6.1,550.4,80.0
District of Columbia,892.9,260.0,198.7,36.9,21.5,38.1,6.8,30.6,18.3,12.6,11.1,20.6,5.1,23.3,37.3,627.0,93.89999999999999
Florida,711.3,175.1,172.0,35.3,35.9,46.0,18.9,21.7,17.0,9.7,10.5,11.1,12.6,7.0,9.7,486.90000000000003,95.6
Georgia ,858.8,213.2,180.4,51.3,45.1,43.8,18.9,20.6,25.7,19.7,21.7,12.2,10.0,7.1,7.2,584.9000000000001,91.99999999999999
Hawaii,629.6,147.2,147.6,43.2,19.4,31.7,11.9,18.1,12.2,16.2,11.8,2.5,9.2,2.1,,415.7,57.4
Idaho,747.4,168.5,163.2,51.8,46.6,47.0,20.4,23.0,28.1,15.8,9.2,12.6,15.6,2.6,,506.20000000000005,98.19999999999999
Illinois,781.1,204.4,187.2,45.3,36.9,34.3,10.9,21.6,20.6,20.1,19.2,8.0,7.8,6.7,3.0,558.3,67.69999999999999
Indiana,847.6,217.2,197.7,49.0,50.8,38.7,15.0,25.8,25.2,17.0,20.8,11.6,13.0,5.9,2.2,605.6999999999999,84.2
Iowa,730.3,184.7,179.6,42.9,45.3,35.4,14.6,21.9,26.3,18.8,5.7,6.3,11.1,2.5,,525.1999999999999,69.89999999999999
Kansas,794.7,183.6,180.5,46.5,49.9,41.5,17.4,24.7,24.3,19.4,18.8,10.9,13.8,4.1,1.1,548.8000000000001,87.69999999999999
Kentucky,915.2,235.5,211.2,50.3,55.0,57.5,22.0,25.9,26.7,21.3,21.0,12.5,14.6,4.6,1.9,648.8,111.19999999999999
Louisiana,930.1,232.3,203.5,51.5,39.6,56.6,23.7,35.5,30.5,19.6,25.2,19.3,11.6,12.8,8.1,645.8,123.99999999999999
Maine ,775.0,174.0,193.8,41.3,49.3,40.6,14.3,21.4,29.0,16.6,15.7,7.3,11.0,1.5,,541.0999999999999,74.7
Maryland,793.0,205.6,186.8,43.6,34.3,26.1,12.9,22.4,17.1,19.9,14.1,12.1,8.6,10.2,8.1,551.9,69.9
Massachusetts ,719.7,169.5,186.7,37.6,34.5,32.0,7.3,15.4,19.4,22.5,18.5,3.2,6.7,2.9,2.7,506.79999999999995,52.1
Michigan,813.7,227.0,191.0,44.7,42.9,34.9,11.5,26.8,21.7,15.8,15.8,11.4,11.1,7.2,1.8,587.5,76.1
Minnesota,672.8,133.9,171.2,39.4,33.3,35.2,11.6,21.4,22.2,10.8,12.8,6.3,10.6,2.5,1.0,446.0,66.2
Mississippi,961.2,270.9,209.2,53.4,46.7,63.8,33.3,23.8,25.0,20.8,22.5,16.6,11.4,11.0,6.7,679.0,136.1
Missouri,848.3,224.4,196.2,49.5,47.3,49.7,18.8,23.4,24.1,19.3,17.1,13.0,13.5,7.1,2.1,603.4,102.1
Montana ,781.4,168.4,179.6,41.3,53.6,55.8,27.3,23.0,19.6,15.0,11.9,12.4,19.7,3.8,,512.4,119.0
Nebraska,735.3,165.0,176.9,43.8,44.2,35.9,14.8,22.1,22.6,15.8,12.2,7.7,11.2,3.1,1.4,503.99999999999994,72.7
Nevada,843.7,226.7,183.2,39.6,49.0,44.5,17.9,12.8,14.7,19.8,22.0,16.5,19.5,8.9,2.9,570.6999999999999,107.30000000000001
New Hampshire,724.9,178.3,182.6,35.5,44.4,33.7,9.5,21.2,26.5,15.1,11.6,6.1,11.0,1.6,,515.1999999999999,61.900000000000006
New Jersey ,736.6,200.9,182.3,35.8,30.3,28.7,8.8,25.9,16.5,13.5,17.1,5.7,6.5,5.3,5.8,528.1,55.0
New Mexico ,775.5,172.6,158.3,37.6,45.5,67.1,24.1,30.5,17.7,18.0,13.2,14.5,18.0,7.0,2.2,495.59999999999997,130.7
New York ,701.2,233.1,169.0,29.8,30.1,25.9,8.1,18.3,9.1,22.5,11.0,5.1,6.6,5.0,7.3,530.1999999999999,50.7
North Carolina,843.6,195.3,192.8,52.4,45.9,47.0,19.2,24.9,26.4,19.6,18.9,12.7,12.2,7.0,4.7,580.9000000000001,98.10000000000001
North Dakota,726.9,181.5,183.2,49.3,34.5,39.5,17.9,26.3,33.6,15.1,6.5,6.7,13.6,,,530.0,77.69999999999999
Ohio,840.8,216.1,198.0,45.1,47.9,40.2,11.7,29.6,27.0,15.0,13.8,9.6,11.2,5.9,2.0,594.5,78.60000000000001
Oklahoma,920.4,251.1,194.8,53.4,57.1,56.3,21.8,30.3,23.5,22.7,15.4,13.4,15.0,6.4,2.6,650.9,112.9
Oregon,770.5,160.0,181.3,47.9,45.7,40.5,13.5,28.2,29.0,12.5,8.7,10.0,15.2,3.1,1.4,514.6999999999999,82.3
Pennsylvania ,800.8,207.1,190.8,43.4,35.4,39.4,12.8,22.2,18.9,16.1,19.0,10.9,10.8,6.4,2.9,555.8,80.30000000000001
Rhode Island,747.4,200.8,181.7,31.2,38.2,36.4,7.8,16.2,20.3,19.5,12.9,4.2,8.1,3.6,2.4,523.1999999999999,60.1
South Carolina,864.6,200.2,193.2,51.6,43.2,53.2,24.1,25.0,31.5,16.4,18.9,14.0,11.9,9.1,5.9,585.9,112.30000000000001
South Dakota,740.5,177.0,171.9,42.9,39.7,53.0,24.2,27.1,29.8,16.5,6.2,9.7,16.0,2.9,,511.1,105.80000000000001
Tennessee,908.3,233.3,204.7,54.9,47.8,54.2,22.8,27.1,34.6,24.9,12.4,15.4,14.2,8.0,4.2,643.9000000000001,114.60000000000001
Texas,783.9,197.4,174.5,48.3,39.9,41.0,16.8,26.1,25.9,17.3,15.3,10.4,10.3,6.1,4.5,549.1999999999999,84.6
Utah ,706.3,156.3,136.4,36.4,31.9,30.9,13.9,26.1,21.4,18.2,11.1,9.7,15.8,2.0,1.3,439.1000000000001,72.3
Vermont,721.7,175.5,171.8,37.8,46.3,45.2,14.1,24.9,26.2,10.8,7.4,8.0,12.0,,,500.7,79.30000000000001
Virginia,781.0,190.8,183.9,48.8,37.4,35.7,12.5,21.8,22.3,17.9,19.2,10.5,11.1,5.3,3.1,545.2,75.1
Washington,722.5,165.8,174.2,42.9,43.1,41.1,11.4,24.4,38.3,12.7,6.6,8.4,12.3,3.4,1.4,509.4,76.60000000000001
West Virginia,941.3,236.9,205.9,47.6,56.6,62.2,23.1,33.1,21.8,20.6,20.8,13.2,14.1,5.4,1.2,644.5,118.00000000000001
Wisconsin,746.6,181.1,181.2,44.6,38.8,42.7,13.5,19.7,24.2,15.7,15.4,7.5,11.9,3.5,0.9,521.5999999999999,79.10000000000001
Wyoming,822.8,189.4,175.4,45.3,67.0,58.9,29.7,23.7,21.8,22.6,11.2,15.0,21.7,,,556.4,125.3
