State,1980,2000,2008
Alabama ,3894000,4452000,4662000
Alaska ,402000,627000,686000
Arizona ,2718000,5167000,6500000
Arkansas ,2286000,2678000,2855000
California ,23668000,33999000,36757000
Colorado ,2890000,4328000,4939000
Connecticut ,3108000,3412000,3501000
Delaware ,594000,786000,873000
Florida ,9746000,16047000,18328000
Georgia ,5463000,8230000,9686000
Hawaii ,965000,1211000,1288000
Idaho ,944000,1299000,1524000
Illinois ,11427000,12438000,12902000
Indiana ,5490000,6091000,6377000
Iowa ,2914000,2928000,3003000
Kansas ,2364000,2693000,2802000
Kentucky ,3661000,4049000,4269000
Louisiana ,4206000,4469000,4411000
Maine ,1125000,1277000,1316000
Maryland ,4217000,5310000,5634000
Massachusetts ,5737000,6363000,6498000
Michigan ,9262000,9955000,10003000
Minnesota ,4076000,4934000,5220000
Mississippi ,2521000,2848000,2939000
Missouri ,4917000,5606000,5912000
Montana ,787000,903000,967000
Nebraska ,1570000,1713000,1783000
Nevada ,800000,2018000,2600000
New Hampshire ,921000,1240000,1316000
New Jersey ,7365000,8431000,8683000
New Mexico ,1303000,1821000,1984000
New York ,17558000,18998000,19490000
North Carolina ,5882000,8079000,9222000
North Dakota ,653000,641000,641000
Ohio ,10798000,11364000,11486000
Oklahoma ,3025000,3454000,3642000
Oregon ,2633000,3431000,3790000
Pennsylvania ,11864000,12285000,12448000
Rhode Island ,947000,1051000,1051000
South Carolina ,3122000,4023000,4480000
South Dakota ,691000,756000,804000
Tennessee ,4591000,5703000,6215000
Texas ,14229000,20946000,24327000
Utah ,1461000,2244000,2736000
Vermont ,511000,610000,621000
Virginia ,5347000,7104000,7769000
Washington ,4132000,5911000,6549000
West Virginia ,1950000,1807000,1814000
Wisconsin ,4706000,5374000,5628000
Wyoming ,470000,494000,533000
