WHOREGION,FLUSEASON,HEMISPHERE,COUNTRY_CODE,COUNTRY_AREA_TERRITORY,ISO_WEEKSTARTDATE,ISO_YEAR,ISO_WEEK,SPEC_PROCESSED_NB,AH1N12009,AH1,AH3,AH5,AH7N9,ANOTSUBTYPED,ANOTSUBTYPABLE,AOTHER_SUBTYPE,INF_A,BVIC_2DEL,BVIC_3DEL,BVIC_NODEL,BVIC_DELUNK,BYAM,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE
AMR,YR,SH,ECU,Ecuador,2021-05-10,2021,19,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0
SEAR,YR,NH,NPL,Nepal,2021-07-19,2021,29,51.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,23.0,28.0
AMR,SH,SH,CHL,Chile,2020-03-23,2020,13,2721.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0,2701.0
WPR,SH,SH,FJI,Fiji,2022-02-14,2022,7,67.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,45.0
SEAR,YR,NH,NPL,Nepal,2023-04-17,2023,16,131.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,128.0
AMR,YR,NH,SLV,El Salvador,2022-10-10,2022,41,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0
EUR,NH,NH,NLD,Netherlands (Kingdom of the),2015-08-03,2015,32,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AFR,YR,NH,NGA,Nigeria,2019-12-02,2019,49,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
AFR,YR,SH,MDG,Madagascar,2021-10-04,2021,40,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,9.0,29.0
AFR,YR,NH,SSD,South Sudan,2021-11-08,2021,45,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
